benchmark,model,score,metric,year,source_tier,notes
MERA Text v1.2.0,Claude Opus 4.6,0.862,avg_accuracy,2026,T1,"#1 leaderboard; above human baseline; MERA team submission"
MERA Text v1.2.0,Human Benchmark,0.852,avg_accuracy,2024,T1,"Reference ceiling; set by MERA team"
MERA Text v1.2.0,BerryLM-XL,0.835,avg_accuracy,2026,T1,"Wildberries & Russ AI; #3 overall; best open model"
MERA Text v1.2.0,BerryLM-L-v2-early-ckpt,0.822,avg_accuracy,2026,T1,"Wildberries & Russ AI; #4"
MERA Text v1.2.0,GPT-5.4,0.821,avg_accuracy,2026,T1,"MERA team submission; #5"
MERA Text v1.2.0,BerryLM-v2-reasoning-budget-low,0.810,avg_accuracy,2026,T1,"Wildberries & Russ AI; #6"
MERA Text v1.2.0,GLM-5.1,0.804,avg_accuracy,2026,T1,"MERA team; #7"
MERA Text v1.2.0,Qwen3-235B-A22B-Thinking-2507,0.795,avg_accuracy,2026,T1,"#8"
MERA Text v1.2.0,Cotype Light 3,0.792,avg_accuracy,2026,T1,"MWS AI; #9"
MERA Text v1.2.0,Qwen3.6-35B-A3B,0.792,avg_accuracy,2026,T1,"#10"
MERA Text v1.0,GigaChat 2 MAX,0.670,avg_accuracy,2025,T2,"Multiple sources; claimed #1 among Russian proprietary; exact score varies by source"
MERA Text v1.0,GigaChat-Pro v1.0.26.8,0.537,avg_accuracy,2024,T1,"Official submission; incomplete (not all tasks submitted)"
MERA Text v1.0 (paper),Llama-2-13b,0.368,avg_accuracy,2024,T1,"Best baseline at paper publication; from arXiv:2401.04531"
LIBRA,GPT-4o,0.702,accuracy,2024,T1,"Top scorer; from arXiv:2408.02439"
LIBRA,GLM4-9B-Chat,0.523,accuracy,2024,T1,"Second place; from LIBRA paper"
LIBRA,All open models (avg),<0.300,accuracy,2024,T1,"Rough estimate; open models fail above 32k context"
RussianSuperGLUE,FRED-T5-1.7B,0.762,aggregated_score,2024,T2,"Top open-source model on legacy benchmark"
POLLUX,Gemma-3-27B-It,1.205,composite_criteria,2025,T1,"#1 overall; from arXiv:2505.24616"
POLLUX,Gemma-3-12B-It,1.163,composite_criteria,2025,T1,"#2"
POLLUX,Qwen3-30B-A3B,1.153,composite_criteria,2025,T1,"#3"
POLLUX,T-Pro-It-1.0,1.115,composite_criteria,2025,T1,"#4; best Russian-focused model"
POLLUX,GPT-4,1.110,composite_criteria,2025,T1,"#5"
Arena-Hard-RU,Vikhr-nemo-12b-instruct,79.800,win_rate_vs_baseline,2024,T2,"Modified Arena-Hard-Auto; GPT-4 as judge; 500 Russian prompts"
MMLU-RU,GigaChat 2 MAX,80.460,accuracy,2025,T2,"Beats GPT-4o (80.00) on Russian MMLU; from ICAIMT paper"
MMLU-RU,GPT-4o,80.000,accuracy,2025,T2,"From ICAIMT evaluation paper"
MMLU-RU,DeepSeek-V3,73.740,accuracy,2025,T2,"From ICAIMT evaluation paper"
MMLU-EN,GPT-4o,88.700,accuracy,2025,T2,"English advantage maintained; from ICAIMT paper"
MMLU-EN,GigaChat 2 MAX,86.000,accuracy,2025,T2,"From ICAIMT evaluation paper"
RussianSuperGLUE,LLaMA+Unigram tokenizer,0.509,mean_zero_shot,2023,T1,"After vocabulary substitution; from arXiv:2312.02598"
RussianSuperGLUE,LLaMA (BPE baseline),0.445,mean_zero_shot,2023,T1,"Before tokenizer change; from arXiv:2312.02598"
TAPE,Human baseline,varies_per_task,accuracy,2022,T1,"Task-specific baselines published; models lag significantly"
ruMTEB,ru-en-RoSBERTa,SOTA,aggregated_mteb,2024,T1,"New SOTA for Russian embeddings; from arXiv:2408.12503"
RuSimulBench,Vikhr,7.750,composite_stability_creativity,2025,T2,"#1 in RuSimulBench; from IEEE paper"
RuSimulBench,LLaMA3,7.300,composite_stability_creativity,2025,T2,"#2"
RuSimulBench,Mistral,6.950,composite_stability_creativity,2025,T2,"#3"
RuSimulBench,Qwen,6.930,composite_stability_creativity,2025,T2,"#4"
YandexGPT 5 Pro internal,YandexGPT 5 Pro,0.540,pairwise_preference_vs_GPT4o,2025,T3,"Internal blind comparison; vendor claims; methodology opaque"
MERA Text (paper launch),Human Benchmark,0.872,avg_accuracy,2024,T1,"0.872 reported in original paper (v1.0); slight variation from live leaderboard 0.852"
REPA judge eval,POLLUX-32B judge,0.641,spearman_corr_vs_human,2025,T1,"Judge correlation with human experts; from POLLUX paper"
REPA judge eval,gpt-oss-120B,0.704,spearman_corr_vs_human,2025,T1,"Baseline judges tested on REPA"
REPA judge eval,Qwen3-235B,varies,spearman_corr_vs_human,2025,T1,"Range 0.089-0.704 across judges; from POLLUX"
SWE-MERA,Leading code specialists,0.278,pass_at_1,2025,T1,"From MERA ecosystem overview; best code models"
SWE-MERA,Small models and chat LLMs,<0.050,pass_at_1,2025,T1,"Substantially lower; from SWE-MERA paper arXiv:2507.11059"
